Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG
Date,,,,,,,,,,
2024-03-13,170.32574462890625,140.1063995361328,172.37606081011293,141.51970368304296,169.95747319192603,139.34997253718265,171.95803650796105,139.39973986924898,52488700,19637000
2024-03-14,172.1869659423828,143.65956115722656,173.49080701178275,144.04772204533774,171.2414336176872,140.8180242046837,172.0973925529764,141.62918463176592,72913500,36117900
2024-03-15,171.80874633789062,141.49978637695312,171.80874633789062,143.659554832315,169.48969463541124,140.46469578318113,170.3655638276482,142.73394628866993,121664700,41025900
2024-03-18,172.90357971191406,147.78004455566406,176.87483361469177,152.20906372462022,172.70452267737835,147.44165099822862,174.7448914522954,148.6658483894553,75604200,47676700
2024-03-19,175.25247192382812,147.2227020263672,175.77997984762692,148.91468517438577,172.21680308785983,146.3169881293415,173.52064400091257,148.27770274736022,55215200,17748400
2024-03-20,177.83030700683594,148.97438049316406,177.83030700683594,149.05400518452484,174.2671300256647,146.9688800892644,174.89417408943874,148.08857668370393,53423100,17730000
2024-03-21,170.5646209716797,148.03883361816406,176.65586961417029,150.5917292530754,170.03711298613993,147.31226396001364,176.2179350177799,149.6113871985433,106181300,19843900
2024-03-22,171.47035217285156,151.05453491210938,172.23673773536032,151.84080403684533,169.26078406375387,149.38244681787967,170.95279171103329,149.5317488047315,71106600,19226300
2024-03-25,170.0470733642578,150.43743896484375,171.13194711675717,150.74199616930437,168.65364374159117,148.09852650340093,169.76839047714014,150.23838484701864,54288300,15114700
2024-03-26,168.9124298095703,150.98486328125,170.61438491064948,152.4777920846642,168.78303590364706,150.3180235714812,169.20106023000122,150.52704028617632,57388400,19312700
2024-03-27,172.49551391601562,151.22373962402344,172.78415954350993,151.9702040369206,169.31055559917013,149.4222746041288,169.60914876354798,151.4277750526382,60273300,16622000
2024-03-28,170.67410278320312,151.54222106933594,171.4205780589011,151.95029192080196,169.70866021166748,150.61661250010812,170.94283813483634,151.28345221045504,65672700,21105600
2024-04-01,169.2309112548828,155.76223754882812,170.4451788535061,156.25988048029402,168.68349304450714,150.93509503886602,170.38546326457012,151.11425439135942,46240500,24469800
2024-04-02,168.04649353027344,155.1352081298828,168.54414366405445,155.25465276475865,167.43935975957754,152.7365806566567,168.28537106183597,154.02049278342562,49329500,17598100
2024-04-03,168.85269165039062,155.6328582763672,169.8778497555363,155.8120176435374,167.78772821512752,153.40541695878758,167.99673277562965,154.189696694263,47691700,17266200
2024-04-04,168.026611328125,151.22373962402344,171.11203328162168,155.44374205201333,168.026611328125,151.16402490088885,169.48968886138192,154.34893669187858,53704400,24184800
2024-04-05,168.7830352783203,153.21432495117188,169.5892261323792,154.11007625117927,168.15599119757314,150.3687936097494,168.79298281447828,150.9649689349857,42055200,16289800
2024-04-08,167.65834045410156,155.40394592285156,168.40481571452685,155.91651757401127,167.4493358859462,153.26408722854015,168.23561647794648,153.28896330227423,37425500,16641500
2024-04-09,168.8726043701172,157.3944854736328,169.2806811483862,159.13623550930967,167.55881583801002,155.90155687162408,167.90716183961618,156.60821642545778,42451200,21538100
2024-04-10,166.99148559570312,156.91677856445312,168.29532657810816,157.4144215142172,166.3246362072623,155.4636544689247,168.0066961691415,157.1357426772979,49709300,16339200
2024-04-11,174.21737670898438,160.03201293945312,174.63541624491384,160.36045910838484,167.36972023014152,157.18549466223584,167.5488670137579,157.59356552547138,91070300,17841700
2024-04-12,175.72027587890625,158.43955993652344,177.52176704196785,160.93772200076836,173.39127675717174,157.8523449185831,173.44102962389059,158.65354275354042,101593300,16968200
2024-04-15,171.87840270996094,155.59303283691406,175.7998881273465,160.0718189916202,171.68929323241036,155.41387349356054,174.53585255667426,159.52440875756264,73531800,21140900
2024-04-16,168.583984375,155.26458740234375,172.94338974194338,156.48878470454247,167.47920033817573,154.3190689138674,170.94284143183614,154.90628390086408,73711200,15413200
2024-04-17,167.21046447753906,156.1404571533203,169.84800441976404,157.9329619598977,167.21046447753906,155.39895882932524,168.81289870293196,156.44899335301892,50901200,16237800
2024-04-18,166.2549591064453,156.7177276611328,167.8474456964944,157.73788965449194,165.7672716683895,155.47362026100805,167.24031189258443,156.1852460490335,43122900,14016100
2024-04-19,164.2245635986328,154.9859161376953,165.6179780634261,157.24521930392896,163.3088890664717,153.18445115165247,165.42888374733738,157.00634522902195,67772100,20063900
2024-04-22,165.0605926513672,157.2053985595703,166.4739172082034,158.43457720422234,163.99562926284756,154.92620062224327,164.74210446317437,155.2745415611511,48116400,17243900
2024-04-23,166.11561584472656,159.16612243652344,166.26492000363532,159.72348012158997,164.14492548116624,157.2203366413251,164.57291251221173,157.84239034106147,49537800,16115400
2024-04-24,168.2256622314453,160.34054565429688,168.50434510258808,160.62917184903918,165.42887079721268,158.0712952848792,165.75730653407012,158.34001151164955,48251800,19485700
2024-04-25,169.09158325195312,157.2053985595703,169.80820075027214,157.53384471581393,167.3597550998357,152.04783561586922,168.73327450279362,152.63704010672708,50558300,36197800
2024-04-26,168.5043487548828,172.87120056152344,170.53475474394267,175.58832666155163,168.38490238817732,170.59198747560998,169.081624768213,175.16036103860196,44838400,56500800
2024-04-29,172.68460083007812,167.1084747314453,175.20270935632288,170.57208014606195,172.28648678772151,166.27243832937464,172.55520693212748,169.96495521880348,68169400,35914600
2024-04-30,169.52951049804688,163.86386108398438,174.1676137755898,169.06920180643567,169.20105955998108,163.72452167301353,172.51541154910535,166.59094976939298,65934800,29420800
2024-05-01,168.5043487548828,164.78948974609375,171.89832652202932,168.01420626410095,168.31523926242042,164.12263484487258,168.78303163206596,165.39659955094953,50383100,25223200
2024-05-02,172.21682739257812,167.66587829589844,172.6049939419865,167.73554041543014,170.08688513916925,164.90893195424,171.69926693100732,165.88430793569268,94214900,17041100
2024-05-03,182.51817321777344,168.193359375,186.12115543095717,169.04930580388765,181.80155578938326,164.20225344161207,185.7727942523785,168.7407544368837,163224100,22767100
2024-05-06,180.8560333251953,169.02940368652344,183.3343214775735,169.0990658013136,179.5720873686165,167.09854663956006,181.4930249418685,168.42227868914688,78569700,15147900
2024-05-07,181.54278564453125,172.16455078125,184.0310366275269,172.65224633966483,180.46787458450643,169.1986030506817,182.58785409480518,169.31803249892306,77305800,21102400
2024-05-08,181.8811798095703,170.35313415527344,182.20963072654146,171.09859622958308,180.5972339353124,169.71814128050192,181.9906634485607,169.94506330132936,45057100,14569900
2024-05-09,183.70260620117188,170.77114868164062,183.792179594264,171.62709512370475,181.2541604804327,169.12891791013897,181.70204263297254,170.3431678671801,48983000,11937700
2024-05-10,182.4368438720703,169.48721313476562,184.47000383075684,170.53226626790192,181.51992740382525,167.11844324476036,184.28063783698332,168.890050763585,50759500,18740500
2024-05-13,185.656005859375,170.09434509277344,186.47326635748277,170.14411242247,184.0015628078464,164.97857644921768,184.8188233059542,165.06517190662683,72044800,19648600
2024-05-14,186.8021697998047,171.11949157714844,187.66926595480425,171.96549063762274,185.6659889969534,169.61661538741166,186.8819036535792,170.78109802770155,52393600,18729500
2024-05-15,189.08450317382812,173.060302734375,190.0113806876588,173.2255205444955,186.74236879853999,171.21901789802692,187.28056849688068,171.48774932095938,70400000,20958200
2024-05-16,189.2041015625,174.60299682617188,190.45989075478766,175.5087106331646,189.02471179656044,173.22951262162755,189.83199615864385,173.77692289985708,52845200,17247300
2024-05-17,189.23399353027344,176.4542236328125,190.17084727488813,176.65825905676155,188.54630236847427,174.15511572356067,188.87519880271202,174.722435954081,41282900,16546400
2024-05-20,190.40008544921875,177.6187286376953,191.27714266640717,179.1016949111226,188.37688635675946,176.3895499420499,188.69582178398366,176.47414073902465,44361300,17495100
2024-05-21,191.70570373535156,178.69361877441406,192.08442053272114,178.97231279047915,190.28048580582154,176.474135532202,190.44991454290118,177.55899348782262,42309400,14706000
2024-05-22,190.2605438232422,177.160888671875,192.17412585880137,178.00887723264987,189.63266445026173,175.94663866940007,191.625965130265,177.55899695369803,34648500,16189400
2024-05-23,186.25401306152344,174.2347412109375,190.36020743395642,179.06188373408688,186.0048504863481,173.71718830847908,190.34027016979292,177.93720584610716,51005900,14928400
2024-05-24,189.3436279296875,175.49876403808594,189.94162421863646,176.4681715297921,187.41012383078694,174.37408611469655,188.1875250894915,175.6878707884106,36294600,11400600
2024-05-28,189.3535919189453,177.1807861328125,192.35350378297326,177.66846646558616,188.46657377923762,174.85180576931893,190.86848939299406,174.9115356755471,52280100,15655300
2024-05-29,189.652587890625,176.56370544433594,191.6060292626522,177.3897945303486,188.8752018363686,175.42908017169887,188.97487295416659,175.976490431931,53068000,15023800
2024-05-30,190.6492462158203,172.7418212890625,191.53626445370173,175.8570710684257,189.99146851693155,172.41337511409716,190.12102272627732,175.8570710684257,49947900,18844000
2024-05-31,191.60601806640625,173.13992309570312,191.92495345858123,173.59774605548205,189.2738600399137,170.16401310971617,190.79873376551856,172.58255029510445,75158300,28085200
2024-06-03,193.38006591796875,173.59776306152344,194.33685694398167,175.03097717260903,191.8751293663799,171.63704864383791,192.25384615761888,173.06031536329505,50080500,20742800
2024-06-04,193.69898986816406,174.30441284179688,194.66574186569684,174.3641275618965,192.38340418619828,172.40341325539,193.98801176077237,173.6276105780023,47471400,14066600
2024-06-05,195.21389770507812,176.2352752685547,196.24044634116564,177.13102647161713,194.2172473626493,174.46365245832024,194.74547082752238,175.70279368634698,54156800,15233900
2024-06-06,193.8285675048828,177.50924682617188,195.84180559150522,177.86755035862805,193.51960831096955,176.37462150453698,195.0345211925245,176.59357043122796,41181800,14255800
2024-06-07,196.23046875,175.12054443359375,196.28030430445062,178.5741875907091,193.48968053965237,174.9612950507807,193.99796669662618,177.61872166754497,53103900,14716300
2024-06-10,192.4730987548828,175.9973907470703,196.63910486677477,177.83079699459753,191.50634675889475,173.7554492975208,196.2404356269631,175.81802752495432,97262100,17122200
2024-06-11,206.45611572265625,177.5518035888672,206.46609195915696,177.75108423529036,192.9814138224934,174.81165288916708,193.00133588013964,177.08348570749644,172373300,14402400
2024-06-12,212.35630798339844,178.91690063476562,219.46241499269527,181.42787947273285,206.20696163392407,177.14327694877989,206.67538853844061,179.10622257947298,198134300,18600400
2024-06-13,213.52236938476562,176.1070098876953,216.02395620562416,177.87065967293807,210.89121315624297,176.02729458377604,214.02069454325613,177.20306110727122,97862700,15956900
2024-06-14,211.77822875976562,177.7311553955078,214.44924427717243,178.0898666483664,210.59221246372425,175.22218357185352,213.13367378271622,175.22218357185352,70122700,12361600
2024-06-17,215.94422912597656,178.1396942138672,218.21659070332575,179.27561067019667,212.0074632920053,175.85790258992213,212.65527993528355,176.3461379133103,93728300,15272900
2024-06-18,213.5721893310547,175.8180389404297,217.89766325641614,178.26923510757547,212.28651711595563,174.99100977195764,216.86113841241473,178.14965455035454,79943300,15640300
2024-06-20,208.97763061523438,177.0735321044922,213.5223688231627,178.09984190710827,208.1504242370716,175.82800902324556,213.21339445126264,176.07711363949488,86172500,16753200
2024-06-21,206.79498291015625,179.61436462402344,211.18023828891836,181.85829763261856,206.41625091745033,177.42224731527511,209.6852627905662,177.8507151079345,246421400,59728000
2024-06-24,207.44281005859375,180.14248657226562,211.9875333707341,181.4278748991179,205.89799892378585,179.58449466770367,207.02421872275744,180.6307370908269,80727000,18198300
2024-06-25,208.36968994140625,184.91534423828125,210.67194975002218,185.08473355620472,207.91122410230182,180.45636543703452,208.44940858434205,180.49623069074562,56713900,18917700
2024-06-26,212.5356903076172,184.70606994628906,214.1402980033581,185.26406180555398,209.9344322470105,183.33102292285417,210.79155216910215,183.5402622680096,66213200,13375700
2024-06-27,213.3828582763672,186.1907501220703,215.01736433595826,186.82845731487285,211.63872006367095,184.78579647406917,213.97087836680484,184.98010536766324,49772700,13025700
2024-06-28,209.9144744873047,182.7630615234375,215.34623061165473,185.9117473236654,209.5955543096767,182.66840055888895,215.0472324898511,185.05482688953091,82542700,23032400
2024-07-01,216.02395629882812,183.82925415039062,216.78140506529675,184.67620075111873,211.2101334408119,182.07554786344363,211.37956216985054,183.81928023476226,60402900,11815900
2024-07-02,219.53216552734375,185.941650390625,219.64179766849512,186.2804290197841,214.3794853085834,182.4043617984991,215.42595595595571,182.8128970182058,58046200,12555500
2024-07-03,220.80789184570312,186.71885681152344,220.80789184570312,186.94802880286505,218.29632866276663,184.72103291035663,219.26308073535034,185.63276432631835,37369800,7409100
2024-07-05,225.5818328857422,191.27249145507812,225.69146503075916,191.5714048253656,220.90754038733803,186.6491104769195,220.90754038733803,186.6491104769195,60412400,14303400
2024-07-08,227.056884765625,189.7977752685547,227.08678305881674,190.9924860557011,222.50218547217585,188.6419414632955,226.32931907748747,190.6796152957187,59085900,12097600
2024-07-09,227.9139862060547,189.75791931152344,228.631575647805,192.16924997414537,225.6117264169712,189.54866476125034,227.1664984715379,191.0632249607313,48076100,10198500
2024-07-10,232.19960021972656,191.96998596191406,232.29927134034506,192.61765188536268,228.48209857735924,189.9372837700379,228.5319341376685,190.06682303638334,62627700,12052900
2024-07-11,226.80772399902344,186.62918090820312,231.61157070495582,191.7208798554092,225.01375035477759,186.15090430376924,230.61492037011672,190.65470480345505,64710600,16452000
2024-07-12,229.76776123046875,186.1110382080078,231.86073301422448,188.01420111013582,227.91399100155513,185.4733310036047,228.1531925563972,186.25053618384166,53046500,14449100
2024-07-15,233.61483764648438,187.51597595214844,236.43535998230433,189.2198428547946,232.3092281117703,185.82206775973765,235.68787221439834,185.82206775973765,62631300,12186000
2024-07-16,234.03343200683594,184.83563232421875,235.47857190808813,189.6582942302075,231.55176727169922,184.45698842771773,234.2128217621178,188.28324703475073,43234300,12760100
2024-07-17,228.1133270263672,181.96592712402344,230.68468664215072,184.5665798102319,225.88082486496336,180.96950870331733,228.68140979310064,184.01854663801583,57345900,17376600
2024-07-18,223.4290771484375,178.578125,229.66811832325195,183.39082818525517,221.52548646122014,177.57174778728617,229.50865061099643,182.88264501899772,66034600,17877200
2024-07-19,223.55862426757812,178.74749755859375,226.04028896611686,181.31825887509234,222.5320756847993,178.21939701881587,224.06692564873424,179.7239833410327,49151500,14485900
2024-07-22,223.20980834960938,182.69332885742188,227.01700459563804,183.63992334392967,222.34271224556252,181.2485099418617,226.24957960487185,181.69691040759497,48201800,16303900
2024-07-23,224.25628662109375,182.94244384765625,226.17982967750157,184.55663696261976,221.93408951337017,182.6734065937824,223.61843101438217,183.18157455853097,39960300,23772600
2024-07-24,217.80796813964844,173.7454833984375,224.04700927387208,177.31266333834552,216.40270265661363,172.94836078735528,223.24968592545983,174.7618344929483,61777600,31250700
2024-07-25,216.76148986816406,168.5541534423828,220.11023564894725,174.57251436164208,213.9010930254534,168.44454680160155,218.19665359620475,173.62591984806159,51391200,28967900
2024-07-26,217.2299041748047,168.0758514404297,218.75477790382115,169.23170045423535,215.2864239407029,165.27094636539994,217.96741565742542,168.16554065318968,41601300,25150100
2024-07-29,217.50897216796875,170.51710510253906,218.5654190781,171.54341495524503,215.0273073866339,169.11215134932957,216.23326096996,169.88935657362845,36311800,13768900
2024-07-30,218.0670928955078,171.2444610595703,219.59196666736065,172.33055342996533,215.3960621319004,169.51068762852552,218.45578591171193,171.21456972490898,41643800,13681400
2024-07-31,221.3361053466797,172.52984619140625,223.07028238181744,175.27997080668484,219.89096542123676,171.10497512525495,220.6982497488722,174.29351108109944,50036300,15650200
2024-08-01,217.62857055664062,171.8323516845703,223.72806581879624,175.05077889023,216.29306274041448,169.89929753739804,223.61843367222977,171.36403381575482,62501000,17177800
2024-08-02,219.12355041503906,167.79685974121094,224.84432899946665,169.60038989475044,216.98075820790513,165.7940641440123,218.41592196270943,167.58762038247167,105568600,18907800
2024-08-05,208.5690155029297,160.06466674804688,212.7848420736874,165.3456878229132,195.34346157584417,156.0391427100353,198.42310739676375,156.8063740057358,119548600,34907800
2024-08-06,206.53585815429688,159.9650115966797,209.28662299148326,161.76854176630374,200.39650324752455,157.56365468246898,204.612330181792,160.36857505755367,69660500,36146500
2024-08-07,209.1171875,160.17425537109375,212.9243839975228,164.19977895622932,205.69866882998738,159.66608746828945,206.2069550428707,162.65534262295992,63516400,19334200
2024-08-08,212.59547424316406,163.25318908691406,213.4824924067945,164.90724730098054,208.13048513245963,161.4496741925987,212.39614722358988,161.7625449521268,47161100,15733600
2024-08-09,215.51568603515625,164.7976531982422,216.05387055494424,164.92719246706665,211.259984607228,160.35362004988897,211.38955402452135,161.06607082428397,42201600,13549200
2024-08-12,217.0522918701172,163.36280822753906,219.02793942662467,166.10295907223568,215.12653755613,162.96424691360264,215.59550663031672,165.40048221300762,38028100,12435000
2024-08-13,220.78407287597656,165.33570861816406,221.40270642093424,165.9435244900484,218.52902632127157,164.1798747537791,218.52902632127157,164.59338172697963,44155300,12717600
2024-08-14,221.23309326171875,161.44969177246094,222.54021400164925,164.36920594570728,219.21752501736546,158.95864546948013,220.08562480803565,163.62189205481303,41960600,22515900
2024-08-15,224.22650146484375,162.58560180664062,224.8551228159093,162.93435435683165,222.27079905335071,160.9116260556583,224.10676986474735,161.62904857869057,46414000,18392500
2024-08-16,225.5535888671875,164.14999389648438,226.33187474025672,166.3520703306594,223.15885022096822,162.4959354897988,223.42826155403992,162.82475542877654,44340200,16853100
2024-08-19,225.39393615722656,167.79685974121094,225.4937226434457,167.8666163302166,222.5501887780633,165.49513557024594,225.2243113108782,166.40188000248637,40687800,13100800
2024-08-20,226.0125732421875,168.35487365722656,226.6711275207631,169.79967741743286,224.95490346311303,168.05594507135712,225.27420804373648,168.1356603745316,30299000,12622500
2024-08-21,225.90280151367188,167.02963256835938,227.47933353511345,168.03600974702022,224.5557753561492,165.97343142549687,226.02254833732334,166.39192535734017,34765500,15269600
2024-08-22,224.03692626953125,164.8972930908203,227.8385569948794,168.81321026159983,223.4083048904395,164.43893391865004,227.28976176117078,168.43456638911738,43695300,19123800
2024-08-23,226.3418426513672,166.83033752441406,227.7188169640382,167.34847938718525,223.83736023691762,165.06668777536825,225.16444130741013,165.95349960757738,38677300,14281600
2024-08-26,226.68109130859375,167.32855224609375,226.7808777924977,168.77337124165066,223.39832305195915,165.72433304902341,226.2620154817008,167.5527524913739,30602200,11990300
2024-08-27,227.5292205810547,165.7841033935547,228.3474270817302,167.64241403647938,224.39611696496783,165.56489012243208,225.5036798955901,167.00969380636656,35934600,13718200
2024-08-28,225.99261474609375,163.91082763671875,229.35520907583674,166.79047621925304,225.18438078371824,162.69519596618224,227.4194670399241,166.18266038398477,38052200,15208700
2024-08-29,229.28536987304688,162.8147735595703,232.4085012026452,167.02963467718953,228.37737982242845,161.40185288464895,229.59470189609323,165.46525036551398,51906300,17133800
2024-08-30,228.49710083007812,164.51866149902344,229.89402024722435,164.68805082195226,226.98043458769098,162.8247530655951,229.6844899472923,163.63184962949015,52990800,18498800
2024-09-03,222.28077697753906,158.04193115234375,228.49709095305272,162.794851421707,220.68428466242796,157.2896303563664,228.04808224732741,162.73008178971705,50190600,26533100
2024-09-04,220.36500549316406,157.24481201171875,221.29295584608857,159.8255324575919,217.0023958735564,156.87614200634854,221.17322424578342,157.5088623244565,43840200,17410700
2024-09-05,221.89163208007812,158.031982421875,224.98481497811864,160.43832644366523,221.03352013282222,156.95584860212327,221.14327916881817,157.21491194230538,36615400,14139500
2024-09-06,220.3350830078125,151.58514404296875,224.74537478911404,158.64974722214538,219.28738577978086,151.39083514674604,223.4581991238727,158.1216466586556,48423000,24999100
2024-09-09,220.42486572265625,149.20054626464844,220.7840757397734,154.28897565317735,216.23409233980902,147.86359163991898,220.33506702469683,153.28127377468468,67180000,28057700
